Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
65536,576,wormhole_b0,riscv_1,109568,L1,unicast,all_from_all,True,False,False,9,1,3759483.0,10.040938075793932
32,2304,wormhole_b0,riscv_1,110592,L1,unicast,all_from_all,True,False,False,9,1,75425.0,0.9775008286377196
64,2304,wormhole_b0,riscv_1,111616,L1,unicast,all_from_all,True,False,False,9,1,75493.0,1.9532406978130423
128,2304,wormhole_b0,riscv_1,112640,L1,unicast,all_from_all,True,False,False,9,1,75424.0,3.9100551548578704
256,2304,wormhole_b0,riscv_1,113664,L1,unicast,all_from_all,True,False,False,9,1,75496.0,7.812652325951044
512,2304,wormhole_b0,riscv_1,114688,L1,unicast,all_from_all,True,False,False,9,1,121235.0,9.730259413535695
1024,2304,wormhole_b0,riscv_1,115712,L1,unicast,all_from_all,True,False,False,9,1,232593.0,10.143452296500755
2048,2304,wormhole_b0,riscv_1,116736,L1,unicast,all_from_all,True,False,False,9,1,460363.0,10.24972032939224
4096,2304,wormhole_b0,riscv_1,117760,L1,unicast,all_from_all,True,False,False,9,1,1039127.0,9.081838889760347
8192,2304,wormhole_b0,riscv_1,118784,L1,unicast,all_from_all,True,False,False,9,1,1770969.0,10.65765013390974
16384,2304,wormhole_b0,riscv_1,119808,L1,unicast,all_from_all,True,False,False,9,1,3777262.0,9.993676901416952
32768,2304,wormhole_b0,riscv_1,120832,L1,unicast,all_from_all,True,False,False,9,1,8408696.0,8.9784994010962
65536,2304,wormhole_b0,riscv_1,121856,L1,unicast,all_from_all,True,False,False,9,1,16566534.0,9.114455926628949
32,25,wormhole_b0,riscv_1,122880,L1,unicast,all_from_all,True,False,False,25,1,1107.0,0.7226738934056007
64,25,wormhole_b0,riscv_1,123904,L1,unicast,all_from_all,True,False,False,25,1,1077.0,1.4856081708449396
128,25,wormhole_b0,riscv_1,124928,L1,unicast,all_from_all,True,False,False,25,1,1110.0,2.8828828828828827
256,25,wormhole_b0,riscv_1,125952,L1,unicast,all_from_all,True,False,False,25,1,1288.0,4.968944099378882
512,25,wormhole_b0,riscv_1,126976,L1,unicast,all_from_all,True,False,False,25,1,2028.0,6.31163708086785
1024,25,wormhole_b0,riscv_1,128000,L1,unicast,all_from_all,True,False,False,25,1,3848.0,6.652806652806653
2048,25,wormhole_b0,riscv_1,129024,L1,unicast,all_from_all,True,False,False,25,1,7547.0,6.784152643434477
4096,25,wormhole_b0,riscv_1,130048,L1,unicast,all_from_all,True,False,False,25,1,22423.0,4.566739508540338
8192,25,wormhole_b0,riscv_1,131072,L1,unicast,all_from_all,True,False,False,25,1,26029.0,7.868147066733259
16384,25,wormhole_b0,riscv_1,132096,L1,unicast,all_from_all,True,False,False,25,1,67875.0,6.034622467771639
32768,25,wormhole_b0,riscv_1,133120,L1,unicast,all_from_all,True,False,False,25,1,187193.0,4.376232017222867
65536,25,wormhole_b0,riscv_1,134144,L1,unicast,all_from_all,True,False,False,25,1,376809.0,4.34809147339899
32,100,wormhole_b0,riscv_1,135168,L1,unicast,all_from_all,True,False,False,25,1,3776.0,0.847457627118644
64,100,wormhole_b0,riscv_1,136192,L1,unicast,all_from_all,True,False,False,25,1,3582.0,1.7867113344500278
128,100,wormhole_b0,riscv_1,137216,L1,unicast,all_from_all,True,False,False,25,1,3676.0,3.4820457018498367
256,100,wormhole_b0,riscv_1,138240,L1,unicast,all_from_all,True,False,False,25,1,5146.0,4.974737660318694
512,100,wormhole_b0,riscv_1,139264,L1,unicast,all_from_all,True,False,False,25,1,10001.0,5.119488051194881
1024,100,wormhole_b0,riscv_1,140288,L1,unicast,all_from_all,True,False,False,25,1,26926.0,3.8030156725841193
2048,100,wormhole_b0,riscv_1,141312,L1,unicast,all_from_all,True,False,False,25,1,59695.0,3.4307730965742524
4096,100,wormhole_b0,riscv_1,142336,L1,unicast,all_from_all,True,False,False,25,1,90854.0,4.508332049221829
8192,100,wormhole_b0,riscv_1,143360,L1,unicast,all_from_all,True,False,False,25,1,213603.0,3.8351521280131835
16384,100,wormhole_b0,riscv_1,144384,L1,unicast,all_from_all,True,False,False,25,1,405350.0,4.0419390650055504
32768,100,wormhole_b0,riscv_1,145408,L1,unicast,all_from_all,True,False,False,25,1,844371.0,3.880758576502509
65536,100,wormhole_b0,riscv_1,146432,L1,unicast,all_from_all,True,False,False,25,1,2160182.0,3.0338184467790215
32,400,wormhole_b0,riscv_1,147456,L1,unicast,all_from_all,True,False,False,25,1,10993.0,1.1643773310288366
64,400,wormhole_b0,riscv_1,148480,L1,unicast,all_from_all,True,False,False,25,1,10979.0,2.3317242007468804
128,400,wormhole_b0,riscv_1,149504,L1,unicast,all_from_all,True,False,False,25,1,14590.0,3.509252912954078
256,400,wormhole_b0,riscv_1,150528,L1,unicast,all_from_all,True,False,False,25,1,19848.0,5.159209995969367
512,400,wormhole_b0,riscv_1,151552,L1,unicast,all_from_all,True,False,False,25,1,50376.0,4.065427981578529
1024,400,wormhole_b0,riscv_1,152576,L1,unicast,all_from_all,True,False,False,25,1,92252.0,4.440012140658197
2048,400,wormhole_b0,riscv_1,153600,L1,unicast,all_from_all,True,False,False,25,1,192725.0,4.250616162926449
4096,400,wormhole_b0,riscv_1,154624,L1,unicast,all_from_all,True,False,False,25,1,446033.0,3.6732708118009207
8192,400,wormhole_b0,riscv_1,155648,L1,unicast,all_from_all,True,False,False,25,1,1149319.0,2.851079639334249
16384,400,wormhole_b0,riscv_1,156672,L1,unicast,all_from_all,True,False,False,25,1,1931577.0,3.3928753552149358
32768,400,wormhole_b0,riscv_1,157696,L1,unicast,all_from_all,True,False,False,25,1,3169466.0,4.135460042795852
65536,400,wormhole_b0,riscv_1,158720,L1,unicast,all_from_all,True,False,False,25,1,6235729.0,4.203903024008901
32,1600,wormhole_b0,riscv_1,159744,L1,unicast,all_from_all,True,False,False,25,1,45535.0,1.1244097946634457
64,1600,wormhole_b0,riscv_1,160768,L1,unicast,all_from_all,True,False,False,25,1,46061.0,2.2231388810490436
128,1600,wormhole_b0,riscv_1,161792,L1,unicast,all_from_all,True,False,False,25,1,49995.0,4.096409640964096
256,1600,wormhole_b0,riscv_1,162816,L1,unicast,all_from_all,True,False,False,25,1,101536.0,4.034037188780334
512,1600,wormhole_b0,riscv_1,163840,L1,unicast,all_from_all,True,False,False,25,1,170908.0,4.793222084396283
1024,1600,wormhole_b0,riscv_1,164864,L1,unicast,all_from_all,True,False,False,25,1,311446.0,5.260623029353403
2048,1600,wormhole_b0,riscv_1,165888,L1,unicast,all_from_all,True,False,False,25,1,789593.0,4.149986132095902
4096,1600,wormhole_b0,riscv_1,166912,L1,unicast,all_from_all,True,False,False,25,1,1799598.0,3.641702202380754
8192,1600,wormhole_b0,riscv_1,167936,L1,unicast,all_from_all,True,False,False,25,1,3601252.0,3.6396231088521436
16384,1600,wormhole_b0,riscv_1,168960,L1,unicast,all_from_all,True,False,False,25,1,5603731.0,4.678026122238916
32768,1600,wormhole_b0,riscv_1,169984,L1,unicast,all_from_all,True,False,False,25,1,8250499.0,6.35462170227522
65536,1600,wormhole_b0,riscv_1,171008,L1,unicast,all_from_all,True,False,False,25,1,17762296.0,5.9033809593084134
32,6400,wormhole_b0,riscv_1,172032,L1,unicast,all_from_all,True,False,False,25,1,191715.0,1.0682523537542707
64,6400,wormhole_b0,riscv_1,173056,L1,unicast,all_from_all,True,False,False,25,1,197994.0,2.0687495580674162
128,6400,wormhole_b0,riscv_1,174080,L1,unicast,all_from_all,True,False,False,25,1,211362.0,3.8758149525458694
256,6400,wormhole_b0,riscv_1,175104,L1,unicast,all_from_all,True,False,False,25,1,344458.0,4.756457971654019
512,6400,wormhole_b0,riscv_1,176128,L1,unicast,all_from_all,True,False,False,25,1,593178.0,5.524142837394509
1024,6400,wormhole_b0,riscv_1,177152,L1,unicast,all_from_all,True,False,False,25,1,1208961.0,5.42085311271414
2048,6400,wormhole_b0,riscv_1,178176,L1,unicast,all_from_all,True,False,False,25,1,2173931.0,6.0292621982942425
4096,6400,wormhole_b0,riscv_1,179200,L1,unicast,all_from_all,True,False,False,25,1,4256634.0,6.158481090927714
8192,6400,wormhole_b0,riscv_1,180224,L1,unicast,all_from_all,True,False,False,25,1,9149987.0,5.72993163815424
16384,6400,wormhole_b0,riscv_1,181248,L1,unicast,all_from_all,True,False,False,25,1,18496687.0,5.668993587878737
32768,6400,wormhole_b0,riscv_1,182272,L1,unicast,all_from_all,True,False,False,25,1,36713011.0,5.712285489196187
65536,6400,wormhole_b0,riscv_1,183296,L1,unicast,all_from_all,True,False,False,25,1,73113398.0,5.736710527391984
32,64,wormhole_b0,riscv_1,184320,L1,unicast,all_from_all,True,False,False,64,1,3135.0,0.6532701356990933
64,64,wormhole_b0,riscv_1,185344,L1,unicast,all_from_all,True,False,False,64,1,3157.0,1.2974344032216247
