Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
2048,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,165888,4x4,2x2,16,524288,35294.0,14.85487618292061
4096,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,166912,4x4,2x2,16,1048576,71208.0,14.725536456577913
8192,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,167936,4x4,2x2,16,2097152,146058.0,14.358350792151063
16384,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,168960,4x4,2x2,16,4194304,302137.0,13.882126320179257
32768,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,169984,4x4,2x2,16,8388608,629431.0,13.327287661395768
65536,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,171008,4x4,2x2,16,16777216,1247475.0,13.448939658109381
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,172032,4x4,2x2,16,131072,92306.0,1.4199726994994908
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,173056,4x4,2x2,16,262144,91765.0,2.856688279845257
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,174080,4x4,2x2,16,524288,88250.0,5.9409405099150145
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,175104,4x4,2x2,16,1048576,95141.0,11.021284199241126
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,176128,4x4,2x2,16,2097152,149603.0,14.018114610001136
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,177152,4x4,2x2,16,4194304,303006.0,13.842313353530953
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,178176,4x4,2x2,16,8388608,615149.0,13.636709155017728
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,179200,4x4,2x2,16,16777216,1247003.0,13.4540301827662
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,180224,4x4,2x2,16,33554432,2417404.0,13.880357606755014
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,181248,4x4,2x2,16,67108864,4841922.0,13.859963873850095
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,182272,4x4,2x2,16,134217728,9529388.0,14.084611519648481
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,183296,4x4,2x2,16,268435456,19065386.0,14.079728362174256
32,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,184320,2x2,4x4,4,128,984.0,0.13008130081300814
64,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,185344,2x2,4x4,4,256,1037.0,0.24686595949855353
128,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,186368,2x2,4x4,4,512,1033.0,0.49564375605033884
256,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,187392,2x2,4x4,4,1024,1037.0,0.9874638379942141
512,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,188416,2x2,4x4,4,2048,1087.0,1.8840846366145354
1024,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,189440,2x2,4x4,4,4096,1281.0,3.1975019516003123
2048,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,190464,2x2,4x4,4,8192,1918.0,4.2711157455683
4096,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,191488,2x2,4x4,4,16384,3668.0,4.4667393675027265
8192,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,192512,2x2,4x4,4,32768,7114.0,4.606128760191172
16384,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,193536,2x2,4x4,4,65536,15510.0,4.225402965828498
32768,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,194560,2x2,4x4,4,131072,33834.0,3.8739729266418395
65536,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,195584,2x2,4x4,4,262144,65823.0,3.982559287786944
32,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,196608,2x2,4x4,4,2048,7866.0,0.2603610475464022
